nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
La Garonne du confluent du Pantagnac au confluent de la Gimone,43.9739,1.2057,74.02,0.0,faible/nulle,fort,0-2,1584829.4,2,0.0
Le Midour du confluent de l'Izaute au confluent de l'Estang,43.8527,-0.1872,33.56,0.0,faible/nulle,modere,0-1,104132.8,3,0.0
La Dordogne du confluent du Foulissard au confluent du [toponyme inconnu] (inclus),45.0213,1.8484,71.37,0.0,faible/nulle,fort,0-2,1322235.6,2,0.0
L'Adour du confluent du Lespontès au confluent du Pinot,43.6605,-1.2338,78.24,0.0,faible/nulle,fort,0-2,2243815.0,2,0.0
L'Isère du Nant Bruyant inclus à l'Arc,45.6042,6.2715,89.84,0.0,faible/nulle,fort,0-2,11844045.0,9,0.0
Le Gave de Pau du confluent de l'Isaby au confluent du Gave de Cauterets,42.9471,0.0002,33.77,0.0,faible/nulle,modere,0-1,105803.0,2,0.0
Le Pré d'Auge de sa source au confluent de la Touques (exclu),49.173,0.1525,60.96,0.0,faible/nulle,modere,0-1,653001.4,4,0.0
CANAL DE NANTES A BREST DU PETIT DORE (C) AU BLAVET (NC),48.2282,-3.252,36.66,0.0,faible/nulle,modere,0-1,136452.2,4,0.0
CANAL DE NANTES A BREST DU BIEF DE PARTAGE (GLOMEL) AU PETIT DORE (NC),48.1995,-3.3378,35.0,0.0,faible/nulle,modere,0-1,118107.6,2,0.0
La Lakako Erreka du confluent du Elhurréko Erreka au confluent de la Nive,43.2566,-1.2766,31.31,0.0,faible/nulle,faible,0-0,85046.2,1,0.0
L'Ariège du confluent de l'Aston au confluent du Vicdessos (Soulcem),42.8112,1.6559,39.12,0.0,faible/nulle,modere,0-1,164144.6,6,0.0
L'Hers vif du confluent du Touyre au confluent de l'Ambrone,43.0536,1.9466,74.91,0.0,faible/nulle,fort,0-2,1681011.2,3,0.0
Le Vicdessos (Soulcem) du confluent du Siguer au confluent de l'Ariège,42.7975,1.5887,60.04,0.0,faible/nulle,modere,0-1,615060.0,5,0.0
La Bouigane de sa source au confluent du Goute de Sipet,42.8958,0.8646,29.81,0.0,faible/nulle,faible,0-0,73110.0,1,0.0
Le Gave de Cambasque,42.8728,-0.1629,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Canal de la Deûle du confluent du Canal d'Aire à la Bassée au confluent du Canal de Roubaix,50.5371,2.9023,18.95,0.0,faible/nulle,faible,0-0,10342.4,1,0.0
Canal du Nord de l'écluse numéro 6 Graincourt-les-Havrincourt à l'écluse numéro 6 Moeuvres,50.1513,3.0733,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Lys Canalisée de l'écluse numéro 3 Saint Venant à l'écluse numéro 4 Merville,50.5908,2.4948,82.87,4.31,moderee,fort,1-2,3553392.4,18,90.5
Le Rhin de la frontière à l'Augraben.,47.6203,7.5595,94.99,0.0,faible/nulle,fort,0-2,117089416.4,3,0.0
La Sauer du Seltzbach au Rhin.,48.9135,8.1258,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Rhin de la Moder à la Sauer.,48.8716,8.1208,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Lieux,44.2651,2.286,19.07,0.0,faible/nulle,faible,0-0,10884.0,2,0.0
La Douze du confluent de l'Estampon au confluent de la Gouaneyre,44.0288,-0.3489,65.79,0.11,faible/nulle,modere,0-1,905328.4,2,80.2
La Dourdenne de sa source au confluent du Laule (inclus),44.5847,0.4649,68.44,0.0,faible/nulle,fort,0-2,1103326.2,4,0.0
La Jalle de Blanquefort de sa source au confluent du Bibey (inclus),44.8402,-0.8046,91.19,0.0,faible/nulle,fort,0-2,18654323.6,3,0.0
La Rance du confluent du Moulègre au confluent de l'Anès,44.7346,2.2442,16.88,0.0,faible/nulle,faible,0-0,2222.0,1,0.0
Le ruisseau de la Francière de sa source au confluent de la Sélune (exclu),48.5579,-0.8589,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LE GOUET DU RAU DE MAUDOUVE (C) A LA MER,48.4846,-2.8332,92.34,18.29,forte,fort,2-2,30036595.0,7,99.3
La Lède de sa source au confluent du Beldina (inclus),44.5983,0.908,33.87,0.0,faible/nulle,modere,0-1,106799.6,4,0.0
Le Roubion de l'Ancelle au Jabron,44.5986,4.8175,78.07,0.0,faible/nulle,fort,0-2,2219630.6,5,0.0
Le Gave de Pau du confluent du Lagoin au confluent de l'Ousse,43.2556,-0.3434,85.62,0.0,faible/nulle,fort,0-2,5009382.4,3,0.0
La Serre du confluent du Vilpion (exclu) au confluent de la Souche (exclu),49.7097,3.6628,21.46,0.0,faible/nulle,faible,0-0,22585.6,1,0.0
La Nive d'Arnéguy de sa source au confluent du Gorritxoko Erreka,43.0415,-1.3078,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
